,total_demand
0,8.696
1,5.927
2,8.962
3,6.2589999999999995
4,6.2490000000000006
5,5.952
6,9.382000000000001
7,6.133
8,6.770999999999999
9,7.122
10,9.976
11,8.945
12,9.026
13,10.312000000000001
14,9.415000000000001
15,10.576
16,11.521999999999998
17,8.758000000000001
18,12.357
19,9.600999999999999
20,8.107
21,8.965
22,11.614
23,7.808999999999999
24,6.339
25,5.659
26,7.640999999999999
27,6.769
28,5.917
29,6.99
30,6.005
31,8.507
32,6.742000000000001
33,6.686
34,9.67
35,12.363
36,11.675
37,9.565999999999999
38,9.104
39,10.082999999999998
40,11.408
41,13.405999999999999
42,11.593
43,11.381
44,16.133
45,13.323
46,10.025
47,7.510999999999999
48,10.283999999999999
49,6.933999999999999
50,6.611
51,5.912
52,8.767999999999999
53,6.989
54,7.209999999999999
55,7.356
56,7.220999999999999
57,8.631
58,10.625
59,9.449
60,11.139
61,11.074000000000002
62,11.710999999999999
63,9.652000000000001
64,11.378
65,18.004
66,11.222000000000001
67,9.978
68,12.818000000000001
69,9.486
70,8.798
71,11.163999999999998
72,7.993
73,8.511
74,8.589
75,10.208000000000002
76,8.822999999999999
77,8.933
78,8.489
79,8.158
80,12.791
81,10.86
82,12.439
83,12.468
84,13.091
85,10.343
86,14.929000000000002
87,19.571
88,13.242999999999999
89,11.914
90,15.094000000000001
91,17.028
92,11.939
93,21.261
94,14.982999999999999
95,7.752999999999999
96,7.73
97,6.8340000000000005
98,10.91
99,7.507000000000001
100,8.38
101,9.305
102,10.575
103,9.562
104,8.958
105,10.379
106,12.779
107,13.975999999999999
108,9.909
109,11.179
110,12.245000000000001
111,12.464999999999998
112,12.908000000000001
113,12.524
114,15.738000000000001
115,17.283
116,15.7
117,12.977
118,11.504
119,9.157
120,13.157
121,8.219
122,8.606
123,9.226
124,12.196
125,10.053999999999998
126,9.816
127,9.745000000000001
128,10.891000000000002
129,16.581
130,11.496000000000002
131,11.263000000000002
132,9.901
133,16.0
134,13.833
135,13.046
136,17.141
137,20.806999999999995
138,15.344999999999999
139,14.126999999999999
140,19.642000000000003
141,13.18
142,12.641000000000002
143,12.261
144,9.291999999999998
145,7.331
146,9.983
147,8.501
148,8.769
149,7.913
150,10.971
151,8.399
152,9.561
153,10.587
154,12.215000000000002
155,15.988
156,14.454
157,15.902000000000001
158,11.77
159,10.341
160,15.089000000000002
161,13.864999999999998
162,14.459999999999999
163,17.628
164,12.870000000000001
165,14.872
166,11.886
167,9.463
168,6.492000000000001
169,10.277999999999999
170,7.734000000000001
171,7.231
172,7.968999999999999
173,9.672
174,10.189000000000002
175,7.893000000000001
176,9.994
177,10.712
178,14.122
179,13.863
180,9.695
181,10.249
182,10.158000000000001
183,15.303999999999998
184,15.629999999999999
185,13.879
186,13.044999999999998
187,16.665
188,13.276
189,11.846
190,11.850999999999999
191,7.728999999999999
192,7.9609999999999985
193,7.197000000000001
194,9.108
195,9.339
196,7.171
197,7.425999999999999
198,10.533
199,7.286
200,7.5649999999999995
201,10.582
202,9.81
203,11.623999999999999
204,12.291
205,9.123
206,8.822
207,14.057000000000002
208,11.154
209,14.479000000000001
210,11.503
211,11.942999999999998
212,11.265
213,16.14
214,10.561
215,9.256
216,8.849
217,9.17
218,7.675999999999999
219,7.205000000000001
220,6.31
221,6.724
222,8.82
223,6.5440000000000005
224,7.913
225,8.899000000000001
226,8.576
227,13.815999999999997
228,12.543000000000001
229,12.322999999999999
230,13.036999999999999
231,11.704999999999998
232,12.209999999999999
233,9.719
234,11.334
235,11.334999999999999
236,10.04
237,11.248
238,8.986
239,7.537000000000001
240,6.272
241,7.119
242,6.881
243,8.891
244,8.327
245,7.955000000000001
246,7.662
247,7.204
248,10.828
249,12.027000000000001
250,13.861
251,12.678999999999998
252,10.996
253,11.341999999999999
254,9.391
255,13.67
256,13.14
257,18.232
258,17.845
259,14.852999999999998
260,13.623
261,13.055
262,11.701999999999998
263,12.355
264,10.161000000000001
265,7.993
266,6.784999999999999
267,11.741
268,8.567
269,8.495999999999999
270,9.592
271,10.76
272,13.902000000000001
273,15.326
274,14.559999999999999
275,13.746000000000002
276,15.633000000000001
277,11.458
278,12.158000000000001
279,12.372
280,14.748000000000001
281,13.411999999999999
282,14.246000000000002
283,13.154
284,15.542
285,16.380000000000003
286,15.733
287,9.590000000000002
288,7.888
289,10.587000000000002
290,9.605
291,8.257
292,8.15
293,11.702
294,9.082999999999998
295,10.699999999999998
296,10.299
297,17.929
298,13.314
299,14.399999999999999
300,15.468999999999996
301,11.929
302,11.129999999999999
303,11.405000000000001
304,14.046999999999999
305,12.014
306,11.71
307,12.200000000000001
308,13.875000000000002
309,11.155999999999999
310,11.523
311,14.892000000000001
312,9.599
313,9.952
314,9.176
315,10.453
316,8.356
317,9.926000000000002
318,9.740000000000002
319,10.391
320,10.365
321,9.576
322,14.432000000000002
323,17.979
324,13.835
325,13.088999999999999
326,12.621000000000002
327,14.91
328,11.939
329,13.508999999999999
330,14.254000000000001
331,15.832
332,13.983999999999998
333,12.620000000000001
334,9.869
335,11.543000000000001
336,7.882999999999999
337,8.186
338,10.221000000000002
339,9.386
340,9.417000000000002
341,9.103000000000002
342,10.335999999999999
343,11.094999999999999
344,11.438
345,11.604
346,14.667000000000002
347,14.15
348,13.984
349,11.471
350,11.977
351,19.051000000000002
352,17.282
353,15.823
354,16.347
355,16.124000000000002
356,15.073
357,14.696
358,11.69
359,10.533999999999999
360,10.274000000000001
361,9.894
362,12.434999999999999
363,10.086999999999998
364,9.405
365,9.481
366,10.664
367,9.639000000000001
368,11.620000000000001
369,14.603
370,12.67
371,13.758999999999999
372,15.347999999999999
373,13.067
374,15.27
375,12.958999999999998
376,14.573999999999998
377,14.765
378,14.840999999999998
379,13.963000000000001
380,14.572
381,15.43
382,10.539000000000001
383,9.154
384,9.261
385,8.454999999999998
386,8.998000000000001
387,10.361
388,8.387
389,8.43
390,7.947
391,8.177
392,8.905
393,10.616999999999999
394,12.282999999999998
395,18.524
396,13.63
397,10.626
398,13.607000000000001
399,13.068
400,12.789000000000001
401,13.542000000000002
402,15.225999999999999
403,12.341999999999999
404,14.001999999999999
405,17.007
406,18.708
407,19.313
408,11.171000000000001
409,8.841000000000001
410,8.887999999999998
411,7.825
412,9.706
413,8.944999999999999
414,9.18
415,11.680000000000001
416,10.629
417,10.392
418,12.149
419,11.344
420,10.059
421,13.117999999999999
422,12.321
423,12.931
424,13.652999999999999
425,14.608
426,14.668000000000001
427,16.708
428,10.939
429,12.108
430,10.781
431,10.015999999999998
432,9.568000000000001
433,10.002
434,8.895
435,9.360000000000001
436,7.790000000000001
437,9.289
438,8.922
439,8.384
440,10.279
441,17.265
442,16.345
443,16.418
444,12.724999999999998
445,10.565000000000001
446,10.189
447,9.929
448,9.879999999999999
449,11.625
450,13.021999999999998
451,13.195
452,11.588000000000001
453,10.926000000000002
454,9.355
455,8.102
456,8.354000000000001
457,10.625
458,7.66
459,7.839
460,6.406000000000001
461,8.059000000000001
462,7.170999999999999
463,7.197999999999999
464,8.844
465,14.032
466,9.791
467,8.959
468,12.912000000000003
469,19.618
470,10.659
471,11.407
472,11.213999999999999
473,11.416999999999998
474,10.587
475,13.143999999999998
476,9.62
477,11.019
478,7.238000000000001
479,7.822999999999999
480,7.54
481,8.415
482,5.883
483,6.002000000000001
484,5.935999999999999
485,6.995
486,7.609999999999999
487,6.332000000000001
488,9.278
489,10.648
490,10.208
491,11.198
492,11.716000000000001
493,10.303
494,9.261000000000001
495,9.925
496,12.381999999999998
497,12.32
498,10.247000000000002
499,11.433
500,8.484
501,12.347999999999999
502,7.885
503,6.550000000000001
504,8.08
505,6.226000000000001
506,5.9030000000000005
507,5.571000000000001
508,9.525
509,6.157
510,5.962999999999999
511,6.688000000000001
512,7.325
513,8.991
514,10.619
515,10.159
516,6.415000000000001
517,9.102
518,9.85
519,6.808
520,13.478000000000002
