,grid_import
0,203.56699999999995
1,187.26000000000002
2,186.32899999999998
3,180.42399999999998
4,178.27799999999993
5,184.09299999999993
6,179.73999999999995
7,188.6220000000001
8,194.8919999999999
9,180.61099999999996
10,184.31098250345366
11,210.27397375518052
12,212.9299912517268
13,231.487
14,229.03099999999995
15,212.0379999999999
16,216.337
17,248.52200000000002
18,256.52900000000005
19,248.16899999999998
20,241.6119999999999
21,239.35699999999997
22,221.2529999999999
23,197.13500000000005
24,183.93100000000004
25,172.08699999999996
26,162.78099999999995
27,163.84300000000002
28,158.09500000000003
29,177.28399999999993
30,169.76000000000013
31,173.90700000000004
32,171.26099999999988
33,201.86999999999983
34,200.40729138987322
35,198.1209327106731
36,225.72387752417563
37,232.23700000000005
38,212.41099999999997
39,221.28399999999996
40,227.8569999999998
41,227.505
42,244.67300000000003
43,249.52299999999994
44,240.09699999999998
45,225.91800000000006
46,211.67000000000002
47,217.04100000000003
48,185.22400000000007
49,172.39500000000007
50,181.25500000000002
51,170.52599999999995
52,163.24099999999999
53,180.14699999999993
54,178.192
55,180.40799999999987
56,186.1489999999999
57,206.48900000000003
58,224.89095625863422
59,227.56879878971708
60,227.14441323035936
61,214.5787463000781
62,218.685
63,241.4200000000001
64,279.1380000000001
65,292.4379999999999
66,308.7220000000001
67,290.906
68,301.9629999999999
69,293.5069999999998
70,286.34600000000006
71,270.681
72,229.22799999999992
73,207.21500000000003
74,197.2
75,195.36200000000002
76,197.4329999999999
77,214.48600000000002
78,213.30600000000007
79,243.03299999999996
80,270.5639999999999
81,246.01804643822445
82,262.23692126554124
83,272.04397375518045
84,260.82746152133956
85,229.60310405237678
86,258.1509912517268
87,267.1350000000001
88,272.949
89,295.726
90,299.3230000000001
91,301.671
92,284.804
93,287.984
94,279.6360000000001
95,258.18600000000004
96,242.75400000000005
97,224.21400000000006
98,220.06699999999995
99,212.57000000000005
100,210.13799999999983
101,226.57099999999997
102,223.98200000000006
103,273.00299999999993
104,282.7939999999999
105,253.79747717183076
106,221.1226780988203
107,236.55568901142001
108,208.2484464691041
109,268.1567307606699
110,272.6750000000002
111,270.70000000000005
112,286.5470000000002
113,313.77900000000005
114,315.52599999999995
115,310.7429999999998
116,319.90299999999996
117,321.457
118,306.21000000000004
119,309.26699999999994
120,273.51500000000004
121,252.52099999999987
122,246.77700000000013
123,247.59599999999998
124,239.63599999999997
125,260.4250000000001
126,264.14000000000004
127,295.928
128,302.183
129,306.61755633947683
130,309.89192126554144
131,319.9689037689952
132,328.1019912517266
133,308.68500000000006
134,317.912
135,316.1349999999999
136,306.111
137,324.35400000000004
138,339.7869999999998
139,338.4770000000001
140,310.81800000000004
141,310.60899999999987
142,309.68
143,286.42400000000004
144,294.87299999999993
145,259.338
146,228.48500000000004
147,228.96899999999997
148,230.65300000000005
149,240.5490000000001
150,241.11499999999992
151,278.92800000000005
152,296.61
153,292.38198250345357
154,296.35387752417563
155,323.0422066151797
156,330.56727012124196
157,318.3959825034536
158,300.2899999999998
159,304.70000000000005
160,320.546
161,307.77599999999984
162,331.0720000000001
163,334.48400000000004
164,322.79799999999994
165,323.22500000000014
166,319.0850000000002
167,286.43999999999977
168,271.7699999999998
169,238.69400000000007
170,235.23799999999991
171,223.16799999999995
172,220.80700000000007
173,238.12100000000007
174,233.01500000000004
175,269.7269999999999
176,294.9649999999999
177,304.8710000000001
178,307.9389912517268
179,301.8677200552586
180,256.4146529214376
181,244.2326898296261
182,282.90396868792476
183,286.554
184,298.74
185,300.70200000000006
186,321.68600000000004
187,318.71399999999994
188,313.51300000000026
189,301.97899999999987
190,276.94900000000007
191,276.57099999999997
192,279.155
193,254.10999999999993
194,254.02599999999995
195,248.78199999999995
196,223.16500000000002
197,238.14599999999993
198,241.33100000000005
199,264.71199999999993
200,252.45600000000013
201,254.272857772794
202,257.27766725460765
203,252.02288310886456
204,327.9228103637254
205,342.06892126554123
206,313.03599999999983
207,295.687
208,282.79699999999985
209,306.50500000000005
210,304.2070000000001
211,327.74999999999994
212,301.557
213,288.914
214,266.01000000000005
215,264.127
216,252.18900000000005
217,232.35099999999994
218,215.37299999999996
219,206.25899999999996
220,205.138
221,213.5789999999999
222,214.18500000000003
223,222.75000000000006
224,224.22499999999997
225,256.31399125172686
226,271.9198687759025
227,257.4757316425814
228,273.2920366203444
229,214.82357380973198
230,294.9945275932487
231,287.94300000000004
232,304.63199999999995
233,346.93699999999995
234,358.623
235,344.78900000000004
236,345.76200000000006
237,336.635
238,335.6589999999999
239,318.18800000000016
240,285.8569999999999
241,271.04600000000016
242,248.37300000000008
243,245.28199999999993
244,253.01599999999993
245,259.416
246,253.42500000000007
247,283.7110000000001
248,303.17799999999994
249,304.187
250,305.9639912517272
251,316.3319737551804
252,304.75797375518056
253,286.9417146636764
254,294.6642701212419
255,316.1560000000001
256,304.55600000000004
257,315.14200000000005
258,327.80000000000007
259,302.10900000000004
260,291.286
261,302.3220000000001
262,288.4479999999998
263,290.2710000000001
264,257.8799999999999
265,233.7810000000001
266,237.153
267,240.75400000000005
268,239.6130000000001
269,249.02100000000002
270,264.00300000000004
271,272.031
272,303.766
273,273.41609746387235
274,215.2327641618058
275,181.2133558651193
276,206.67867166416596
277,288.67034387951225
278,277.54796500690725
279,300.058
280,298.4309999999999
281,310.41000000000014
282,324.91999999999996
283,322.00000000000017
284,320.308
285,321.236
286,306.562
287,286.5700000000002
288,264.4620000000001
289,236.8009999999998
290,236.4379999999999
291,232.20700000000005
292,237.46699999999996
293,239.08800000000002
294,238.40300000000005
295,270.384
296,313.305
297,312.0399825034536
298,305.5477463000779
